SR.NO,PRODUCT CODE,PRODUCT NAME,SHORT NAME,B2B
80,HAVM,ANTI HEPATITIS A VIRUS (ANTI HAV) - IGM,HAVM,10.95
81,HSTNI,HIGH SENSITIVITY TROPONIN I,HSTNI,16.72
82,AVM DIABETES ADVANCED PROFILE,AVM DIABETES ADVANCED PROFILE,AVDP,0
83,FPSA,FREE PSA,FPSA,8.39
84,STANDARD WELLNESS PACKAGE DIGITAL OFFER,STANDARD WELLNESS PACKAGE DIGITAL OFFER,STERBH101,0
85,CHCV,ANTI HEPATITIS C VIRUS ANTIBODY,CHCV,6.84
86,BILT,BILIRUBIN - TOTAL,BILT,0.46
87,HC_G,HERPES SIMPLEX VIRUS (HSV)-IGG,HC_G,9.27
88,BASIC WELLNESS PACKAGE DIGITAL OFFER,BASIC WELLNESS PACKAGE DIGITAL OFFER,BAERBH101,0
89,SOD,SODIUM,SOD,0.82
90,CALCT,CALCITONIN,CALCT,12.19
91,PROG,PROGESTERONE,PROG,3.28
92,SCRE,CREATININE - SERUM,SCRE,0.45
93,UALB,URINARY MICROALBUMIN,UALB,4.34
94,VITB,VITAMIN B-12,VITB,2.41
95,BHCG,BETA HCG,BHCG,3.5
96,FTES,FREE TESTOSTERONE,FTES,7.52
97,PRL,PROLACTIN (PRL),PRL,3.5
98,AVM WELLNESS ADVANCED PROFILE,AVM WELLNESS ADVANCED PROFILE,AVWP,0
99,PROSTRATE PROFILE,PROSTRATE PROFILE,PROSP,10.26
100,LDH,LACTATE DEHYDROGENASE,LDH,8.79
101,TSH,THYROID STIMULATING HORMONE (TSH),TSH,1.15
102,CPKMB,CREATININE PHOSPHOKINASE (MUSCLE/BRAIN),CPKMB,8.76
103,NS1,DENGUE NS1 ANTIGEN,NS1,14.16
104,ATG,ANTI THYROGLOBULIN ANTIBODY (ATG),ATG,8.8
105,HEALTHY GULF,HEALTHY GULF,HELFAE122,31.5
106,URIC,URIC ACID,URIC,0.45
107,RB_G,RUBELLA - IGG,RB_G,5.93
108,HC_M,HERPES SIMPLEX VIRUS (HSV)-IGM,HC_M,9.27
109,APOA,APOLIPOPROTEIN - A1 (APO-A1),APOA,7.14
110,Hepatitis Profile (WHD),Hepatitis Profile (WHD),Hepatitis Profile (WHD),0
111,ACTH,ACTH,ACTH,15.18
112,GGT,GAMMA GLUTAMYL TRANSFERASE (GGT),GGT,0.46
113,CPEP,C-PEPTIDE,CPEP,10.13
114,FOLI,FOLATE,FOLI,2.29
115,CA19-9,CA19-9,CA19-9,10.31
116,INSFA,INSULIN - FASTING,INSFA,8.21
117,VITDC,25-OH VITAMIN D (TOTAL),VITDC,6.84
118,IRON,IRON,IRON,0.46
119,PERIPHERAL BLOOD SMEAR (PBS),PERIPHERAL BLOOD SMEAR (PBS),PBS,5.84
120,CHIV,HIV P24 AG/AB,CHIV,6.84
121,DG_M,DENGUE-IGM,DG_M,16.2
122,FT3,FREE TRIIODOTHYRONINE (FT3),FT3,1.48
123,HCHO,HDL CHOLESTEROL - DIRECT,HCHO,1.49
124,EAG,HEPATITIS B ENVELOPE ANTIGEN (HBEAG),EAG,12.32
125,CTX_G,TOXO GONDII - IGG,CTX_G,9.49
126,DNA,ANTI - DSDNA,DNA,12.19
127,BILD,BILIRUBIN -DIRECT,BILD,0.46
128,AC_M,CARDIOLIPIN ANTIBODY (ACL) - IGM,AC_M,36.5
129,AVM DIABETIC PROFILE 1.3,AVM DIABETIC PROFILE 1.3,ADP1.3,0
130,CHS2M,HERPES SIMPLEX VIRUS II (HSV)-IGM,CHS2M,10.66
131,NPBNP,NT-PROBNP,NPBNP,22.48
132,AMA,ANTI MICROSOMAL ANTIBODY (AMA),AMA,12.14
133,AVM WELLNESS PROFILE 1.1,AVM WELLNESS PROFILE 1.1,AWP1.1,0
134,BUN,BLOOD UREA NITROGEN (BUN),BUN,0.45
135,PTH,INTACT PARATHYROID HORMONE (PTH),PTH,9.68
136,LPA,LIPOPROTEIN (A),LPA,18.39
137,T4,TOTAL THYROXINE (T4),T4,1.15
138,CORT,CORTISOL,CORT,9.85
139,CHS1G,HERPES SIMPLEX VIRUS I (HSV)-IGG,CHS1G,9.27
